resource,consumer
Iluocoetes_fimbriatus,Macrourus_carinatus
Sprattus_fuegensis,Macrourus_carinatus
Eukrohnia_hamata,Macrourus_carinatus
Euphausia_spp,Macrourus_carinatus
Pseudosagitta_gazellae,Macrourus_carinatus
Serratosagitta_tasmanica,Macrourus_carinatus
Tinerfe_cyanea,Macrourus_carinatus
Campylonotus_vagans,Macrourus_holotrachys
Lithodes_confundens,Macrourus_holotrachys
Lithodes_couesi,Macrourus_holotrachys
Lithodes_turkayi,Macrourus_holotrachys
Thymops_birsteini,Macrourus_holotrachys
Necromass,Macrourus_holotrachys
Tinerfe_cyanea,Macrourus_holotrachys
Synechococcus_sp,Hexactinellida
Detritus,Anthoptilum_grandiflorum
Detritus,Leptychaster_sp
Foraminifera,Actinauge_longicornis
Polycheria_spp,Actinostola_crassicornis
Eatoniella_spp,Actinostola_crassicornis
Liotella_crassicostata,Actinostola_crassicornis
Odostomia_sp,Actinostola_crassicornis
Onoba_spp,Actinostola_crassicornis
Scissurella_clathrata,Actinostola_crassicornis
Foraminifera,Euphausia_spp
Eggs_Fish,Euphausia_spp
Oithona_spp,Euphausia_spp
Themisto_gaudichaudii,Doryteuthis_gahi
Themisto_gaudichaudii,Thalassarche_chrysostoma
Themisto_gaudichaudii,Thalassarche_melanophris
Larvae_Fish,Themisto_gaudichaudii
Primnoella_scotiae,Dactylanthus_antarcticus
Patagonotothen_ramsayi,Macruronus_novaezelandiae
Macruronus_novaezelandiae,Macruronus_novaezelandiae
Micromesistius_australis,Macruronus_novaezelandiae
Salpidae,Macruronus_novaezelandiae
Tinerfe_cyanea,Macruronus_novaezelandiae
Larvae_Fish,Macruronus_novaezelandiae
Munida_gregaria,Micromesistius_australis
Munida_spinosa,Micromesistius_australis
Patagonotothen_ramsayi,Micromesistius_australis
Pogonolycus_elegans,Micromesistius_australis
Myxine_spp,Micromesistius_australis
Melanostigma_gelatinosum,Micromesistius_australis
Iluocoetes_fimbriatus,Micromesistius_australis
Micromesistius_australis,Micromesistius_australis
Pseudosagitta_gazellae,Micromesistius_australis
Eukrohnia_hamata,Micromesistius_australis
Serratosagitta_tasmanica,Micromesistius_australis
Euphausia_spp,Micromesistius_australis
Sprattus_fuegensis,Macruronus_novaezelandiae
Euphausia_spp,Macruronus_novaezelandiae
Themisto_gaudichaudii,Macruronus_novaezelandiae
Themisto_gaudichaudii,Micromesistius_australis
Cyrtostrombidium_sp,Anthoptilum_grandiflorum
Laboea_strobila,Anthoptilum_grandiflorum
Lohmanniella_sp,Anthoptilum_grandiflorum
Strobilidium_sp,Anthoptilum_grandiflorum
Strombidinopsis_sp,Anthoptilum_grandiflorum
Strombidium_spp,Anthoptilum_grandiflorum
Diatoms_benthic,Anthoptilum_grandiflorum
Dinoflagellates_heterosol,Anthoptilum_grandiflorum
Haplosclerida,Austrodoris_sp
Diatoms_benthic,Haplosclerida
Diatoms_centric,Haplosclerida
Diatoms_pennate,Haplosclerida
Detritus,Haplosclerida
Cyrtostrombidium_sp,Halipteris_africana
Laboea_strobila,Halipteris_africana
Lohmanniella_sp,Halipteris_africana
Strobilidium_sp,Halipteris_africana
Strombidinopsis_sp,Halipteris_africana
Strombidium_spp,Halipteris_africana
Diatoms_benthic,Halipteris_africana
Dinoflagellates_heterosol,Halipteris_africana
Diatoms_benthic,Poecilosclerida
Diatoms_centric,Poecilosclerida
Diatoms_pennate,Poecilosclerida
Detritus,Poecilosclerida
Haplosclerida,Odontaster_sp
Poecilosclerida,Odontaster_sp
Poecilosclerida,Perknaster_sp
Haplosclerida,Sterechinus_agassizii
Zygochlamys_patagonica,Adelomelon_ancilla
Fusitriton_magellanicus,Adelomelon_ancilla
Diatoms_benthic,Alcyonium_antarcticum
Diatoms_centric,Alcyonium_antarcticum
Diatoms_pennate,Alcyonium_antarcticum
Zygochlamys_patagonica,Ctenodiscus_australis
Ctenodiscus_australis,Diplopteraster_clarki
Adelomelon_ancilla,Diplopteraster_clarki
Fusitriton_magellanicus,Diplopteraster_clarki
Odontocymbiola_magellanica,Diplopteraster_clarki
Zygochlamys_patagonica,Fusitriton_magellanicus
