ID,TrophicSpecies,FunctionalGroup,TotalDegree,NumPrey,NumPred,Between,Close,TL,Omn,meanTrophicSimil,TopRole
147,Lohmanniella_sp,Ciliates,4,0,4,0,7.905138339920949e-4,1,0,0.03336370460415366,modspe
148,Strobilidium_sp,Ciliates,5,1,4,0,8.064516129032258e-4,3,0,0.03278418813706921,modspe
149,Strombidinopsis_sp,Ciliates,4,0,4,0,7.905138339920949e-4,1,0,0.03336370460415366,modspe
150,Strombidium_conicum,Ciliates,4,0,4,0,7.905138339920949e-4,1,0,0.03336370460415366,modspe
151,Strombidium_sp,Ciliates,6,0,6,0,8.058017727639e-4,1,0,0.0326198046007145,modspe
152,Aspidostoma_giganteum,Bryozoa,11,0,11,0,9.082652134423251e-4,1,0,0.021067720267270083,modspe
153,Callochiton_puniceus,Polyplacophora,3,2,1,0.2857142857142857,8.928571428571428e-4,2,0,0.09221791326972108,modspe
154,Campylaspis_bacescui,Cumacea,10,9,1,0.5686368699526594,9.514747859181732e-4,2.734,0.437,0.06438256860121919,modspe
155,Campylaspis_frigida,Cumacea,10,9,1,0.5686368699526594,9.514747859181732e-4,2.734,0.437,0.06438256860121919,modspe
156,Campylonotus_vagans,Decapoda,4,1,3,1.171116743236902,9.569377990430622e-4,2,0,0.07505507874668157,modspe
157,Careproctus_sp,Fish_BenPel,8,7,1,0,0.0010256410256410256,2.906,0.564,0.05925830940508933,modspe
158,Octocorals,Cnidaria,3,0,3,0,6.341154090044388e-4,1,0,0.0025298908334777334,modspe
159,Ceramaster_patagonicus,Echinodermata,1,1,0,0,5.068423720223011e-4,2,0,0.00628140703517588,modspe
160,Chaetopterus_antarcticus,Polychaeta,1,1,0,0,8.396305625524769e-4,2,0,0.19167070797261224,modspe
161,Cheiraster_(Luidiaster)_gerlachei,Echinodermata,4,4,0,0,8.703220191470844e-4,2.86,0.779,0.06566377947096269,modspe
162,Ophiacantha_sp,Echinodermata,3,1,2,1.5,7.91765637371338e-4,3,0,0.014095315915076482,modspe
163,Ophiacantha_vivipara,Echinodermata,1,0,1,0,6.472491909385113e-4,1,0,0.0036189104028300006,modspe
164,Cirratulidae,Polychaeta,5,2,3,2.5364875359661854,9.794319294809011e-4,2.5,0.25,0.08065107069177138,modspe
165,Cladodactyla_crocea,Echinodermata,3,3,0,0,7.44047619047619e-4,2,0,0.06380840412003734,modspe
166,Clavularia_sp,Cnidaria,6,4,2,6.583333333333333,8.81057268722467e-4,2.25,0.187,0.05783992991493025,modspe
167,Cnemidocarpa_verrucosa,Ascidiacea,15,13,2,4.375000000000001,9.478672985781991e-4,2.25,0.212,0.071314302689413,modspe
168,Eggs_Fish,Zooplankton,9,0,9,0,8.81057268722467e-4,1,0,0.03704648574186649,modspe
169,Pagurus_forceps,Decapoda,12,5,7,14.029207675806484,0.0010309278350515464,2,0,0.05289148390685846,modspe
170,Glycera_capitata,Polychaeta,6,4,2,132.55555555555554,9.025270758122744e-4,3.335,0.735,0.053916888192518324,modspe
171,Colossendeis_megalonyx,Benthos_Misc,7,2,5,274.90793650793654,8.438818565400844e-4,3.79,0.298,0.013997168079407167,modcon
172,Sabellidae,Polychaeta,8,6,2,211.08055555555558,9.615384615384616e-4,2.244,0.298,0.08401550067353201,modspe
173,Coperonus_comptus,Isopoda,2,2,0,0,8.81057268722467e-4,2.5,0.25,0.1260859154355321,modspe
174,Cosmasterias_lurida,Echinodermata,12,12,0,0,8e-4,3.046,0.399,0.010896530098880239,modhub
175,Leptochiton_kerguelensis,Polyplacophora,3,2,1,0.2857142857142857,8.928571428571428e-4,2,0,0.09221791326972108,modspe
176,Leptochiton_medinae,Polyplacophora,3,2,1,0.2857142857142857,8.928571428571428e-4,2,0,0.09221791326972108,modspe
177,Nuttallochiton_hyadesi,Polyplacophora,3,2,1,0.2857142857142857,8.928571428571428e-4,2,0,0.09221791326972108,modspe
178,Nuttallochiton_martiali,Polyplacophora,3,2,1,0.2857142857142857,8.928571428571428e-4,2,0,0.09221791326972108,modspe
179,Pseudechinus_magellanicus,Echinodermata,10,5,5,96.8095238095238,8.673026886383347e-4,2.2,0.16,0.022277706027288718,modspe
180,Schizasteridae,Echinodermata,5,1,4,3.142857142857143,9.208103130755065e-4,2,0,0.0706744717414285,modspe
181,Sterechinus_agassizii,Echinodermata,6,2,4,127.26639194139193,8.347245409015025e-4,3.188,0.036,0.02022766896704778,modspe
182,Agonopsis_chiloensis,Fish_BenPel,4,0,4,0,7.451564828614009e-4,1,0,0.01637093758878462,modspe
183,Iluocoetes_fimbriatus,Fish_Demersal,8,1,7,1.5595238095238095,8.250825082508251e-4,4.15,0,0.02930297906745795,modspe
184,Cottunculus_granulosus,Fish_Demersal,10,10,0,0,8.904719501335708e-4,3.54,0.619,0.02405290279969694,modspe
185,Cryosignum_sp,Isopoda,1,1,0,0,8.396305625524769e-4,2,0,0.19167070797261224,modspe
186,Pelagobia_longicirrata,Polychaeta,13,6,7,69.77150288283723,9.099181073703367e-4,2.485,0.617,0.034822420176821585,modspe
187,Pseudosagitta_gazellae,Zooplankton,32,16,16,874.4786300733365,0.0010362694300518134,2.661,0.476,0.04800890895771979,modspe
188,Ctenodiscus_australis,Echinodermata,3,2,1,4.069444444444445,8.888888888888889e-4,2.688,0.474,0.08483739056240153,modspe
189,Cumella_argentinae,Cumacea,2,1,1,1.323015873015873,7.942811755361397e-4,2,0,0.03032342690147936,modspe
190,Cystodytes_antarcticus,Ascidiacea,12,12,0,0,9.25925925925926e-4,2.271,0.224,0.07204479243689442,modspe
191,Coccolithophorids,Coccolithophorids,1,0,1,0,6.775067750677507e-4,1,0,0.0035262193051246167,modspe
192,Convexella_magelhaenica,Cnidaria,1,0,1,0,5.512679162072767e-4,1,0,0.010134003350083753,modspe
193,Dactylanthus_antarcticus,Cnidaria,8,7,1,7,7.052186177715092e-4,2,0,0.009655167521786422,modspe
194,Primnoella_scotiae,Cnidaria,1,0,1,0,5.512679162072767e-4,1,0,0.010134003350083753,modspe
195,Thouarella_antarctica,Cnidaria,4,0,4,0,7.112375533428165e-4,1,0,0.021360562859969245,modspe
196,Thouarella_chilensis,Cnidaria,4,0,4,0,7.112375533428165e-4,1,0,0.021360562859969245,modspe
197,Thouarella_sp1,Cnidaria,1,0,1,0,5.512679162072767e-4,1,0,0.010134003350083753,modspe
198,Thouarella_variabilis,Cnidaria,4,0,4,0,7.112375533428165e-4,1,0,0.021360562859969245,modspe
199,Thouarella_viridis,Cnidaria,4,0,4,0,7.112375533428165e-4,1,0,0.021360562859969245,modspe
200,Daption_capense,SeaBirds,12,12,0,0,9.115770282588879e-4,3.196,0.852,0.032911314707339906,modcon
201,Campanularia_sp,Cnidaria,1,0,1,0,6.697923643670462e-4,1,0,0.00696433757385824,modspe
202,Obelia_longissima,Cnidaria,3,1,2,1.5,8.920606601248885e-4,2,0,0.08620990795877853,modcon
203,Obelia_sp,Cnidaria,2,0,2,0,6.765899864682003e-4,1,0,0.009788636297110402,modspe
204,Tulpa_tulipifera,Cnidaria,2,0,2,0,6.765899864682003e-4,1,0,0.009788636297110402,modspe
205,Desmosoma_sp,Isopoda,1,1,0,0,8.396305625524769e-4,2,0,0.19167070797261224,modspe
206,Diastylis_granulata,Cumacea,5,4,1,0.4690438198382587,9.823182711198428e-4,2,0,0.12254265643510483,modspe
207,Diastylis_hammoniae,Cumacea,5,4,1,0.4690438198382587,9.823182711198428e-4,2,0,0.12254265643510483,modspe
208,Diastylis_planifrons,Cumacea,5,4,1,0.4690438198382587,9.823182711198428e-4,2,0,0.12254265643510483,modspe
209,Diomedea_sp,SeaBirds,6,6,0,0,8.347245409015025e-4,3.856,0.833,0.043682843678171934,modspe
210,Diplodontias_singularis,Echinodermata,1,1,0,0,6.807351940095302e-4,2,0,0.024149378488313878,modspe
211,Diplopteraster_clarki,Echinodermata,4,4,0,0,7.072135785007072e-4,4.183,0.143,0.006154369543332893,modspe
212,Idanthyrsus_macropaleus,Polychaeta,1,0,1,0,7.27802037845706e-4,1,0,0.01834207164105609,modspe
213,Melanostigma_gelatinosum,Fish_Demersal,5,3,2,1.68071192546999,8.045052292839903e-4,3.87,0.155,0.03441245536025147,modspe
214,Pogonolycus_elegans,Fish_BenPel,2,0,2,0,7.304601899196494e-4,1,0,0.018120982772363195,modspe
215,Eatoniella_denticula,Gastropoda,1,1,0,0,8.396305625524769e-4,2,0,0.19167070797261224,modspe
216,Eatoniella_occulta,Gastropoda,1,1,0,0,8.396305625524769e-4,2,0,0.19167070797261224,modspe
217,Eatoniella_strebeli,Gastropoda,1,1,0,0,8.396305625524769e-4,2,0,0.19167070797261224,modspe
218,Echinozone_sp,Isopoda,2,2,0,0,8.81057268722467e-4,2.5,0.25,0.1260859154355321,modspe
219,Ekleptostylis_heardi,Cumacea,2,1,1,0.16469266417131365,9.523809523809524e-4,2,0,0.13853027302488194,modspe
220,Ekleptostylis_vemae,Cumacea,2,1,1,0.16469266417131365,9.523809523809524e-4,2,0,0.13853027302488194,modspe
221,Eurypodius_latreillii,Decapoda,6,4,2,0.4523809523809524,8.012820512820513e-4,2.375,0.422,0.03119912815948196,modspe
222,Eurypodius_longirostris,Decapoda,5,3,2,0.4523809523809524,7.57002271006813e-4,2,0,0.030253621809877288,modspe
223,Liothyrella_uva,Brachiopoda,23,0,23,0,9.354536950420954e-4,1,0,0.02948945487566023,modhub
224,Magellania_venosa,Brachiopoda,21,0,21,0,9.328358208955224e-4,1,0,0.030221340787443672,modspe
225,Paralomis_granulosa,Decapoda,15,13,2,157.91532911532911,9.115770282588879e-4,2.169,0.159,0.02576919075278496,modspe
226,Paralomis_spinosissima,Decapoda,3,2,1,0,7.262164124909223e-4,2,0,0.019130802282664897,modspe
227,Sympagurus_dimorphus,Decapoda,3,1,2,1.2472424711997698,9.794319294809011e-4,2,0,0.10778514424799457,modspe
228,Terebratella_dorsata,Brachiopoda,23,0,23,0,9.354536950420954e-4,1,0,0.02948945487566023,modhub
229,Eunereis_patagonica,Polychaeta,12,7,5,104.99097792861447,0.0010121457489878543,3.087,0.544,0.05791781823015901,modspe
230,Nicon_maculata,Polychaeta,12,7,5,104.99097792861447,0.0010121457489878543,3.087,0.544,0.05791781823015901,modspe
231,Glycera_papillosa,Polychaeta,5,4,1,3.333333333333333,8.8261253309797e-4,3.335,0.735,0.060369583785918994,modspe
232,Eubalaena_australis,MarineMammals_1,8,8,0,0,8.46740050804403e-4,3.376,0.012,0.042395557199362735,modspe
233,Eudorella_sp,Cumacea,5,4,1,0.4690438198382587,9.823182711198428e-4,2,0,0.12254265643510483,modspe
234,Eudyptes_chrysocome,SeaBirds,6,6,0,0,8.216926869350862e-4,4,0.137,0.034726089684911546,modspe
235,Larvae_Fish,Zooplankton,15,7,8,224.29696589959747,8.8261253309797e-4,2.615,0.549,0.02422431079563113,modspe
236,Eukrohnia_hamata,Zooplankton,5,1,4,2.1019607843137256,8.237232289950577e-4,3.615,0,0.033231634472217095,modspe
237,Eunice_pennata,Polychaeta,3,2,1,0.2864875359661855,9.671179883945841e-4,2.5,0.25,0.11463644481890539,modspe
238,Larvae_Nauplii,Zooplankton,12,7,5,102.10225038119775,9.302325581395349e-4,2.143,0.122,0.047322131212798414,modspe
239,Eurypodius_sp,Decapoda,4,3,1,0.4523809523809524,7.326007326007326e-4,2,0,0.027297744836414176,modspe
240,Astarte_sp,Bivalvia,6,0,6,0,6.825938566552901e-4,1,0,0.020916740530080843,modspe
241,Falsilunatia_carcellesi,Gastropoda,4,4,0,0,6.854009595613434e-4,2,0,0.018753909243120002,modspe
242,Fuegotrophon_pallidus,Gastropoda,14,14,0,0,8.136696501220504e-4,2.098,0.126,0.017322337311844467,modspe
243,Calliostoma_modestulum,Gastropoda,5,0,5,0,7.183908045977011e-4,1,0,0.02612984072839393,modspe
244,Calliostoma_moebiusi,Gastropoda,5,0,5,0,7.183908045977011e-4,1,0,0.02612984072839393,modspe
245,Colpospirella_algida,Gastropoda,4,0,4,0,6.807351940095302e-4,1,0,0.026613745053771273,modspe
246,Cyclochlamys_argentina,Bivalvia,4,0,4,0,6.807351940095302e-4,1,0,0.026613745053771273,modspe
247,Epitonium_sp,Gastropoda,4,0,4,0,6.807351940095302e-4,1,0,0.026613745053771273,modspe
248,Hiatella_sp,Bivalvia,4,0,4,0,6.807351940095302e-4,1,0,0.026613745053771273,modspe
249,Odostomia_sp,Gastropoda,5,0,5,0,7.077140835102619e-4,1,0,0.024426928565078897,modspe
250,Pellilitorina_pellita,Gastropoda,4,0,4,0,6.807351940095302e-4,1,0,0.026613745053771273,modspe
251,Fulmarus_glacialoides,SeaBirds,6,6,0,0,8.396305625524769e-4,3.82,0.79,0.04907401740626678,modspe
252,Psolus_antarcticus,Echinodermata,3,2,1,0.525,8.904719501335708e-4,2,0,0.10276319433308208,modcon
253,Psolus_patagonicus,Echinodermata,3,2,1,0.525,8.904719501335708e-4,2,0,0.10276319433308208,modcon
