ID,Season,Phylum,Class,Order,Family,Genus,TrophicSpecies,FunctionalGroup,TrophicGroup,InIntList,Abundance (ind/m3),Biomass (mg C/m3),BodyMass (g),BodySize (mm),GowthRate (mm/day),Zone,Reference_pres,Reference_pres_link,Reference_traits,Reference_traits_link,Observation
25,NA,Arthropoda,Malacostraca,Amphipoda,Stenothoidae,Torometopa,Torometopa_crassicornis,Amphipoda,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,,,Collapsed as Stenothoidae
30,All,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Tryphosella,Tryphosella_sp,Amphipoda,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Fischer_etal_2022,https://doi.org/10.1007/s00300-022-03082-9,,,
31,All,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Phoxocephalus,Phoxocephalus_sp,Amphipoda,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Fischer_etal_2022,https://doi.org/10.1007/s00300-022-03082-9,,,
5,NA,Arthropoda,Malacostraca,Amphipoda,Aoridae,Lembos,Lembos_fuegiensis,Amphipoda,Zooplankton,No,NA,NA,NA,NA,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,,,
6,NA,Arthropoda,Malacostraca,Amphipoda,Calliopiidae,Tylosapis,Tylosapis_dentatus,Amphipoda,Zooplankton,No,NA,NA,NA,NA,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,,,
7,NA,Arthropoda,Malacostraca,Amphipoda,Colomastigidae,Colomastix,Colomastix_fissilingua,Amphipoda,Zooplankton,No,NA,NA,NA,5,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,Lorz_2001,https://doi.org/10.1078/1439-6092-00010,
8,NA,Arthropoda,Malacostraca,Amphipoda,Conicostomatidae,Stomacontion,Stomacontion_pepinii,Amphipoda,Zooplankton,No,NA,NA,NA,NA,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,,,
9,NA,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Haplocheira,Haplocheira_barbimana_robusta,Amphipoda,Zooplankton,No,NA,NA,NA,NA,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,,,
16,NA,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Jassa,Jassa_alonsoae,Amphipoda,Zooplankton,Yes,NA,NA,NA,10.5,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,Conlan_1990,https://doi.org/10.1139/z90-28,
17,NA,Arthropoda,Malacostraca,Amphipoda,Pontogeneiidae,Atyloella,Atyloella_magellanica,Amphipoda,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,,,
18,NA,Arthropoda,Malacostraca,Amphipoda,Sanchoidae,Chosroes,Chosroes_incisus,Amphipoda,Zooplankton,No,NA,NA,NA,NA,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,,,
19,NA,Arthropoda,Malacostraca,Amphipoda,Sebidae,Seba,Seba_subantarctica,Amphipoda,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,,,
20,NA,Arthropoda,Malacostraca,Amphipoda,Stegocephalidae,Andaniotes,Andaniotes_linearis,Amphipoda,Zooplankton,Yes,NA,NA,NA,10,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,Lorz_2001,https://doi.org/10.1078/1439-6092-00010,
21,NA,Arthropoda,Malacostraca,Amphipoda,Stegocephalidae,Tetradeion,Tetradeion_crassum,Amphipoda,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,,,
27,NA,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Tryphosites,Tryphosites_chevreuxi,Amphipoda,Zooplankton,No,NA,NA,NA,NA,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,,,
28,NA,Arthropoda,Malacostraca,Amphipoda,Aristiidae,Aristias,Aristias_antarcticus,Amphipoda,Zooplankton,No,NA,NA,NA,NA,NA,Ta/Me,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,,,
2,Autumn,Arthropoda,Malacostraca,Amphipoda,Stegocephalidae,Metandania,Metandania_tordi,Amphipoda,Benthos,No,NA,NA,NA,8,NA,Meseta,Lopez-Gappa_etal_2006; Schejter_etal_2016; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,Berge&Vader_2003,https://www.researchgate.net/profile/Jorgen-Berge/publication/236838888_Metandania_tordi_a_new_stegocephalid_Crustacea_Peracarida_Amphipoda_species_from_the_Southern_Ocean/links/582eba5b08ae004f74be1a9f/Metandania-tordi-a-new-stegocephalid-Crustacea-Peracarida-Amphipoda-species-from-the-Southern-Ocean.pdf,
1,Autumn,Arthropoda,Malacostraca,Amphipoda,Leucothoidae,Leucothoe,Leucothoe_spinicarpa,Amphipoda,Benthos,Yes,NA,NA,NA,12,NA,Meseta,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,,,
3,Autumn,Arthropoda,Malacostraca,Amphipoda,Epimeriidae ,Metepimeria,Metepimeria_acanthurus,Amphipoda,Benthos,Yes,NA,NA,NA,NA,NA,Meseta,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,,,
29,NA,NA,NA,NA,NA,NA,Amphipoda,Amphipoda,NA,Artefact,NA,NA,NA,NA,NA,Ta/Me,See species,NA,,,
4,Spring,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,Themisto_gaudichaudii,Amphipoda,Zooplankton,Yes,0.65,NA,NA,8,0.07,Meseta,Spinelli_etal_2020,https://doi.org/10.1016/j.jmarsys.2020.103398,Temperoni_etal_2013,,
45,NA,Chordata,Ascidiacea,Stolidobrachia,Pyuridae,Pyura,Pyura_paessleri,Ascidiacea,Benthos,No,NA,NA,NA,11,NA,Meseta,Taverna_etal_2018,https://doi.org/10.1007/s00300-018-2272-y,Lagger_etal_2009,http://www.pfeil-verlag.de/wp-content/uploads/2015/05/spix32_2_03.pdf,Inferred from Pyura_sp
46,NA,Chordata,Ascidiacea,Stolidobrachia,Pyuridae,Pyura,Pyura_pilosa,Ascidiacea,Benthos,No,NA,NA,NA,11,NA,Meseta,Taverna_etal_2018,https://doi.org/10.1007/s00300-018-2272-y,Lagger_etal_2009,http://www.pfeil-verlag.de/wp-content/uploads/2015/05/spix32_2_03.pdf,Inferred from Pyura_sp
35,NA,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,Aplidium_falklandicum,Ascidiacea,Benthos,No,NA,NA,NA,NA,NA,Meseta,Demarchi_etal_2010,https://doi.org/10.1007/s00300-010-0848-2,,,
38,NA,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,Didemnum_studeri,Ascidiacea,Benthos,No,NA,NA,NA,1,NA,Meseta,GBIF,https://www.gbif.org/species/2329803,Lagger_etal_2009,http://www.pfeil-verlag.de/wp-content/uploads/2015/05/spix32_2_03.pdf,
48,NA,Chordata,Ascidiacea,Aplousobranchia,Holozoidae,Sycozoa,Sycozoa_sigillinoides,Ascidiacea,Benthos,No,NA,NA,NA,NA,NA,Meseta,GBIF,https://www.gbif.org/species/2331330,,,
59,NA,Chordata,Ascidiacea,Stolidobrachia,Styelidae,Theodorella,Theodorella_arenosa,Ascidiacea,Benthos,No,NA,NA,NA,NA,NA,Talud,GBIF,https://www.gbif.org/species/2331892,,,
57,NA,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Diplosoma,Diplosoma_longinquum,Ascidiacea,Benthos,No,NA,NA,NA,NA,NA,Talud,GBIF,https://www.gbif.org/species/5200402,,,
44,NA,Chordata,Ascidiacea,Stolidobrachia,Styelidae,Polyzoa,Polyzoa_reticulata,Ascidiacea,Benthos,No,NA,NA,NA,NA,NA,Meseta,GBIF,https://www.gbif.org/species/5200874,,,
63,NA,Chordata,Ascidiacea,Stolidobrachia,Styelidae,Polyzoa,Polyzoa_spp,Ascidiacea,Benthos,Yes,NA,NA,NA,NA,NA,Meseta,GBIF,https://www.gbif.org/species/5200874,,,
43,NA,Chordata,Ascidiacea,Stolidobrachia,Styelidae,Polyzoa,Polyzoa_opuntia,Ascidiacea,Benthos,No,NA,NA,NA,NA,NA,Meseta,GBIF,https://www.gbif.org/species/5200877,,,
34,NA,Chordata,Ascidiacea,Stolidobrachia,Styelidae,Alloeocarpa,Alloeocarpa_incrustans,Ascidiacea,Benthos,No,NA,NA,NA,10,NA,Meseta,Lagger_etal_2009,http://www.pfeil-verlag.de/wp-content/uploads/2015/05/spix32_2_03.pdf,Lagger_etal_2009,http://www.pfeil-verlag.de/wp-content/uploads/2015/05/spix32_2_03.pdf,
36,Autumn,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,Aplidium_fuegiense,Ascidiacea,Benthos,No,NA,NA,NA,25,NA,Meseta,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,Lagger_etal_2009,http://www.pfeil-verlag.de/wp-content/uploads/2015/05/spix32_2_03.pdf,
37,Autumn,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,Aplidium_meridianum,Ascidiacea,Benthos,No,NA,NA,NA,NA,NA,Meseta,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,,,
42,NA,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Polysyncraton,Polysyncraton_trivolutum,Ascidiacea,Benthos,No,NA,NA,NA,NA,NA,Meseta,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,,,
61,Autumn,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,Aplidium_spp,Ascidiacea,Benthos,Yes,NA,NA,NA,NA,NA,Meseta,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,,,
49,NA,NA,NA,NA,NA,NA,Ascidiacea,Ascidiacea,NA,Artefact,NA,NA,NA,NA,NA,Ta/Me,See species,NA,,,
50,NA,Chordata,Ascidiacea,Stolidobrachia,Styelidae,Cnemidocarpa,Cnemidocarpa_drygalskii,Ascidiacea,Benthos,No,NA,NA,NA,NA,NA,Talud,Tatian_etal_2005,https://doi.org/10.3989/scimar.2005.69s2205,,,
51,Autumn,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,Aplidium_globosum,Ascidiacea,Benthos,Yes,NA,NA,NA,13,NA,Talud,Tatian_etal_2005,https://doi.org/10.3989/scimar.2005.69s2205,,,
52,Autumn,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,Aplidium_polarsterni,Ascidiacea,Benthos,Yes,NA,NA,NA,10,NA,Talud,Tatian_etal_2005,https://doi.org/10.3989/scimar.2005.69s2205,,,
53,Autumn,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,,Polyclinidae,Ascidiacea,Benthos,Yes,NA,NA,NA,10,NA,Talud,Tatian_etal_2005,https://doi.org/10.3989/scimar.2005.69s2205,,,
54,Autumn,Chordata,Ascidiacea,Aplousobranchia,Polycitoridae,Tetrazona,Tetrazona_glareosa,Ascidiacea,Benthos,Yes,NA,NA,NA,NA,NA,Talud,Tatian_etal_2005,https://doi.org/10.3989/scimar.2005.69s2205,,,
55,Autumn,Chordata,Ascidiacea,Aplousobranchia,Polycitoridae,Cystodytes,Cystodytes_antarcticus,Ascidiacea,Benthos,Yes,NA,NA,NA,NA,NA,Talud,Tatian_etal_2005,https://doi.org/10.3989/scimar.2005.69s2205,,,
56,Autumn,Chordata,Ascidiacea,Phlebobranchia ,Ascidiidae,Ascidia,Ascidia_meridionalis,Ascidiacea,Benthos,No,NA,NA,NA,NA,NA,Talud,Tatian_etal_2005,https://doi.org/10.3989/scimar.2005.69s2205,,,
58,NA,Chordata,Ascidiacea,Aplousobranchia,Polycitoridae,Polycitor,Polycitor_glareosus,Ascidiacea,Benthos,No,NA,NA,NA,NA,NA,Talud,Tatian_etal_2005,https://doi.org/10.3989/scimar.2005.69s2205,,,
33,NA,Chordata,Ascidiacea,Stolidobrachia,Styelidae,Cnemidocarpa,Cnemidocarpa_nordenskjöldi,Ascidiacea,Benthos,No,NA,NA,NA,50,NA,Meseta,Taverna_etal_2018,https://doi.org/10.1007/s00300-018-2272-y,Lagger_etal_2009,http://www.pfeil-verlag.de/wp-content/uploads/2015/05/spix32_2_03.pdf,
39,NA,Chordata,Ascidiacea,Stolidobrachia,Molgulidae,Molgula,Molgula_malvinensis,Ascidiacea,Benthos,No,NA,NA,NA,NA,NA,Meseta,Taverna_etal_2018,https://doi.org/10.1007/s00300-018-2272-y,,,
40,NA,Chordata,Ascidiacea,Stolidobrachia,Molgulidae,Molgula,Molgula_pulchra,Ascidiacea,Benthos,No,NA,NA,NA,NA,NA,Meseta,Taverna_etal_2018,https://doi.org/10.1007/s00300-018-2272-y,,,
41,NA,Chordata,Ascidiacea,Stolidobrachia,Molgulidae,Molgula,Molgula_setigera,Ascidiacea,Benthos,No,NA,NA,NA,NA,NA,Meseta,Taverna_etal_2018,https://doi.org/10.1007/s00300-018-2272-y,,,
47,NA,Chordata,Ascidiacea,Stolidobrachia,Styelidae,Styela,Styela_magalhaensis,Ascidiacea,Benthos,No,NA,NA,NA,NA,NA,Meseta,Taverna_etal_2018,https://doi.org/10.1007/s00300-018-2272-y,,,
60,NA,Chordata,Ascidiacea,Stolidobrachia,Styelidae,Cnemidocarpa,Cnemidocarpa_spp,Ascidiacea,Benthos,Yes,NA,NA,NA,NA,NA,Meseta,Taverna_etal_2018,https://doi.org/10.1007/s00300-018-2272-y,,,
62,NA,Chordata,Ascidiacea,Stolidobrachia,Molgulidae,Molgula,Molgula_spp,Ascidiacea,Benthos,Yes,NA,NA,NA,NA,NA,Meseta,Taverna_etal_2018,https://doi.org/10.1007/s00300-018-2272-y,,,
64,NA,Chordata,Ascidiacea,Stolidobrachia,Pyuridae,Pyura,Pyura_spp,Ascidiacea,Benthos,Yes,NA,NA,NA,NA,NA,Meseta,Taverna_etal_2018,https://doi.org/10.1007/s00300-018-2272-y,,,
32,Autumn,Chordata,Ascidiacea,Stolidobrachia,Styelidae,Cnemidocarpa,Cnemidocarpa_verrucosa,Ascidiacea,Benthos,Yes,NA,NA,550,140,NA,Meseta,Taverna_etal_2018; Ruiz_etal_2020,https://doi.org/10.1007/s00300-018-2272-y; https://doi.org/10.1002/ece3.6504,McClintock_etal_1991,https://doi.org/10.1016/0022-0981(91)90180-5,
65,NA,Bacteria,NA,NA,NA,NA,Bacteria,Bacteria,Bacteria,Yes,NA,NA,NA,NA,NA,Ta/Me,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,,,
66,Autumn,Arthropoda,Thecostraca,Scalpellomorpha,Scalpellidae,Ornatoscalpellum,Ornatoscalpellum_gibberum,Benthos_Misc,Benthos,Yes,NA,NA,NA,NA,NA,Meseta,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,,,Cirripedia
68,All,Nemertea,Pilidiophora,Heteronemertea,Lineidae,Parborlasia,Parborlasia_corrugatus,Benthos_Misc,Benthos,Yes,NA,NA,NA,NA,NA,Meseta,Fischer_etal_2022,https://doi.org/10.1007/s00300-022-03082-9,,,
67,All,Arthropoda,Pycnogonida,Pantopoda,Colossendeidae,Colossendeis,Colossendeis_megalonyx,Benthos_Misc,Benthos,Yes,NA,NA,NA,NA,NA,Talud,Krabbe_etal_2010,https://doi.org/10.1007/s00300-009-0703-5,,,
75,NA,NA,NA,NA,NA,NA,Bivalvia,Bivalvia,NA,Artefact,NA,NA,NA,NA,NA,Ta/Me,See species,NA,,,NA
69,Autumn,Mollusca,Bivalvia,Venerida,Veneridae,Eurhomalea,Eurhomalea_sp,Bivalvia,Benthos,Yes,NA,NA,10.3,57,NA,Meseta,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,,,Taken from Eurhomalea_exalbida
72,All,Mollusca,Bivalvia,Adapedonta,Hiatellidae,Hiatella,Hiatella_sp,Bivalvia,Benthos,Yes,NA,NA,1.5,50,NA,Ta/Me,Güller_etal_2020,https://doi.org/10.1371/journal.pone.0233156,,,Taken from Hiatella_arctica
73,Autumn,Mollusca,Bivalvia,Limida,Limopsidae,Limopsis,Limopsis_sp,Bivalvia,Benthos,Yes,NA,NA,1.1,15.3,NA,Ta/Me,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,,,Taken from Limopsis_hirtella
77,Autumn,Mollusca,Bivalvia,Venerida,Neoleptonidae,Neolepton,Neolepton_sp,Bivalvia,Benthos,Yes,NA,NA,0.06,4,NA,Talud,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,,,Taken from Neolepton_cobbi
74,All,Mollusca,Bivalvia,Pectinida,Cyclochlamydidae,Cyclochlamys,Cyclochlamys_argentina,Bivalvia,Benthos,No,NA,NA,NA,3.5,NA,Ta/Me,Pastorino&Griffin_2018,https://doi.org/10.1080/03115518.2018.1440005,,,
76,Autumn,Mollusca,Bivalvia,Carditida,Astartidae,Astarte,Astarte_sp,Bivalvia,Benthos,Yes,NA,NA,NA,NA,NA,Talud,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,,,
70,Autumn,Mollusca,Bivalvia,Pectinida,Pectinidae,Zygochlamys,Zygochlamys_patagonica,Bivalvia,Benthos,Yes,NA,NA,19.7,53,NA,Meseta,Schejter_etal_2020a,https://doi.org/10.1002/aqc.3265,,,
71,Spring,Mollusca,Bivalvia,,Cyamiidae,Cyamiocardium,Cyamiocardium_namuncurense,Bivalvia,Benthos,No,NA,NA,NA,5.1,NA,Ta/Me,Urcola&Zelaya_2018,https://doi.org/10.1007/s00300-018-2275-8,,,
79,Autumn,Brachiopoda,Rhynchonellata,Terebratulida,Terebratullidae,Liothyrella,Liothyrella_uva,Brachiopoda,Benthos,Yes,NA,NA,1,15,NA,Ta/Me,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,McClintock_etal_1993; Gordillo_etal_2019,https://doi.org/10.1007/s12526-019-00935-1; https://doi.org/10.1016/0022-0981(93)90046-Q,Wet weight (body mass): fig 1 in McClintock_etal_1993
78,All,Brachiopoda,Rhynchonellata,Terebratulida,Terebratellidae,Magellania,Magellania_venosa,Brachiopoda,Benthos,Yes,NA,NA,NA,20,NA,Meseta,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,Gordillo_etal_2019,https://doi.org/10.1007/s12526-019-00935-1,
80,Autumn,Brachiopoda,Rhynchonellata,Terebratulida,Terebratellidae,Terebratella,Terebratella_dorsata,Brachiopoda,Benthos,Yes,NA,NA,NA,20,NA,Ta/Me,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,Gordillo_etal_2019,https://doi.org/10.1007/s12526-019-00935-1,
83,NA,NA,NA,NA,NA,NA,Bryozoa,Bryozoa,NA,Artefact,NA,NA,NA,NA,NA,Ta/Me,See species,NA,,,NA
82,Autumn,Bryozoa,Gymnolaemata,Cheilostomatida,Pacificincolidae,Burdwoodipora,Burdwoodipora_paguricola,Bryozoa,Benthos,Yes,NA,NA,NA,0.45,NA,Meseta,Lopez-Gappa_etal_2018,https://doi.org/10.1007/s00300-017-2234-9,,,
81,NA,Bryozoa,Gymnolaemata,Cheilostomatida,Aspidostomatidae,Aspidostoma,Aspidostoma_giganteum,Bryozoa,Benthos,Yes,NA,NA,NA,NA,NA,Meseta,Pérez_etal_2018,https://doi.org/10.1017/jpa.2017.143,,,
84,NA,Mollusca,Cephalopoda,Octopodida,Enteroctopodidae,Enteroctopus,Enteroctopus_megalocyathus,Cephalopoda,Octopus,Yes,NA,NA,5000,225,NA,Meseta,Re_1998,https://aquadocs.org/bitstream/handle/1834/2583/Re_T2_69-98.pdf?sequence=1&isAllowed=y,Re_1998,https://aquadocs.org/bitstream/handle/1834/2583/Re_T2_69-98.pdf?sequence=1&isAllowed=y,
,NA,Mollusca,Cephalopoda,Octopodida,Enteroctopodidae,Muusoctopus,Muusoctopus_longibrachus,Cephalopoda,Octopus,Yes,NA,NA,NA,NA,NA,Meseta,Bergagna_pers.com,,,,
85,Autumn,Mollusca,Cephalopoda,Myopsida,Loliginidae,Doryteuthis,Doryteuthis_gahi,Cephalopoda,Squid,Yes,NA,NA,29-367,70-370,NA,Ta/Me,Riccialdelli_pers.com.,NA,Rosas-Luis_etal_2014,https://doi.org/10.1016/j.fishres.2013.11.004,
88,Spring,Ciliophora,,,,,Ciliates_small,Ciliates,Zooplankton,No,NA,NA,NA,NA,NA,Meseta,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,,,Ciliates; < 20 µm
86,Spring,Ciliophora,,,,,Ciliates_large,Ciliates,Zooplankton,No,NA,NA,NA,NA,NA,Meseta,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,,,Ciliates; > 30 µm
87,Spring,Ciliophora,,,,,Ciliates_medium,Ciliates,Zooplankton,No,NA,NA,NA,NA,NA,Meseta,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,,,Ciliates; 20-30 µm
96,NA,NA,NA,NA,NA,NA,Ciliophora,Ciliates,NA,Artefact,NA,NA,NA,NA,NA,Ta/Me,See species,NA,,,NA
97,NA,NA,NA,NA,NA,NA,Ciliates,Ciliates,NA,Artefact,NA,NA,NA,NA,NA,Ta/Me,See species,NA,,,NA
89,Spring,Ciliophora,Oligotrichea,Oligotrichida,Cyrtostrombidiidae,Cyrtostrombidium,Cyrtostrombidium_sp,Ciliates,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,,,
90,Spring,Ciliophora,Oligotrichea,Oligotrichida,Tontoniidae,Laboea,Laboea_strobila,Ciliates,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,,,
91,Spring,Ciliophora,Oligotrichea,Chorotrichida,Lohmanniellidae,Lohmanniella,Lohmanniella_sp,Ciliates,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,,,
92,Spring,Ciliophora,Oligotrichea,Chorotrichida,Strobilidiidae,Strobilidium,Strobilidium_sp,Ciliates,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,,,
93,Spring,Ciliophora,Oligotrichea,Chorotrichida,Strombidinopsidae,Strombidinopsis,Strombidinopsis_sp,Ciliates,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,,,
94,Spring,Ciliophora,Oligotrichea,Oligotrichida,Strombidiidae,Strombidium,Strombidium_conicum,Ciliates,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,,,
